GPST,Latitude,Longitude,Height
2024/02/14 04:22:34.00,27.681992146,85.319239065,1249.3071
2024/02/14 04:22:35.00,27.682012917,85.319199654,1259.2839
2024/02/14 04:22:36.00,27.68201399,85.319258338,1254.4386
2024/02/14 04:22:37.00,27.682020808,85.31927221,1261.1745
2024/02/14 04:22:38.00,27.682018002,85.319256819,1255.5569
2024/02/14 04:22:39.00,27.682016437,85.319259755,1255.4356
2024/02/14 04:22:40.00,27.681993389,85.319213687,1254.4572
2024/02/14 04:22:41.00,27.682017633,85.319198108,1261.1974
2024/02/14 04:22:42.00,27.681962293,85.319230434,1255.9677
2024/02/14 04:22:43.00,27.682013751,85.319200045,1261.5772
2024/02/14 04:22:44.00,27.681983741,85.319223108,1263.7862
2024/02/14 04:22:45.00,27.682007844,85.319221365,1264.7693
2024/02/14 04:22:46.00,27.681993298,85.319217574,1255.5432
2024/02/14 04:22:47.00,27.68204561,85.319234039,1262.2033
2024/02/14 04:22:48.00,27.681992586,85.31923256,1259.5921
2024/02/14 04:22:49.00,27.682050341,85.31924287,1265.9439
2024/02/14 04:22:50.00,27.68202505,85.319272919,1259.8758
2024/02/14 04:22:51.00,27.681956372,85.319222904,1253.7703
2024/02/14 04:22:52.00,27.681980525,85.319188533,1254.907
2024/02/14 04:22:53.00,27.682021283,85.319267155,1258.8412
2024/02/14 04:22:54.00,27.682048579,85.31923475,1262.092
2024/02/14 04:22:55.00,27.681983781,85.319209431,1260.1078
2024/02/14 04:22:56.00,27.681960443,85.319227625,1253.9005
2024/02/14 04:22:57.00,27.68196314,85.319206873,1248.8221
2024/02/14 04:22:58.00,27.682028799,85.319251272,1255.0646
2024/02/14 04:22:59.00,27.681990068,85.319253122,1249.6518
2024/02/14 04:23:00.00,27.682026418,85.319231673,1271.4167
2024/02/14 04:23:01.00,27.682038227,85.319260265,1258.2036
2024/02/14 04:23:02.00,27.681994149,85.319246586,1249.0126
2024/02/14 04:23:03.00,27.68202836,85.319230219,1271.6725
2024/02/14 04:23:04.00,27.682006104,85.31921477,1252.7785
2024/02/14 04:23:05.00,27.682057658,85.319257097,1267.6204
2024/02/14 04:23:06.00,27.682012469,85.319252623,1263.2713
2024/02/14 04:23:07.00,27.681960327,85.319219565,1247.3717
2024/02/14 04:23:08.00,27.68205321,85.319255364,1268.6854
2024/02/14 04:23:09.00,27.682010912,85.31922483,1257.597
2024/02/14 04:23:10.00,27.681980091,85.319190404,1254.1167
2024/02/14 04:23:11.00,27.682059405,85.319242303,1263.9179
2024/02/14 04:23:12.00,27.682058975,85.319248086,1268.1316
2024/02/14 04:23:13.00,27.682032922,85.319219793,1267.2511
2024/02/14 04:23:14.00,27.682007153,85.319223892,1255.1712
2024/02/14 04:23:15.00,27.682006041,85.31922323,1253.3872
2024/02/14 04:23:16.00,27.682031033,85.31921086,1262.5155
2024/02/14 04:23:17.00,27.682035075,85.319267398,1261.5469
2024/02/14 04:23:18.00,27.682015263,85.319225734,1258.1117
2024/02/14 04:23:19.00,27.682055278,85.319250083,1267.7428
2024/02/14 04:23:20.00,27.68200931,85.319236468,1258.5165
2024/02/14 04:23:21.00,27.681998425,85.319233974,1256.4324
2024/02/14 04:23:22.00,27.682036183,85.319220888,1268.4077
